Instituição;Instituição - Agregado;R;Total;R;Total Seleção;R;Humalog;R;Fiasp;R;Apidra;R;NovoRapid;R;Humalog 200;R;Humalog Jun;R;Lyumjev KwikPen;R;Lyumjev Junior KwikPen;R;Lyumjev
UCSP Alhos Vedros - CS Moita;CS Moita;28;1,2%;28;1,2%;40;1,0%;11;2,0%;21;1,2%;15;2,4%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Nisa - CS Nisa;CS Nisa;30;1,1%;30;1,1%;23;1,8%;12;1,9%;33;0,7%;46;0,1%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Afonsoeiro - CS Montijo;CS Montijo;31;1,1%;31;1,1%;32;1,3%;24;0,9%;19;1,2%;22;1,2%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Lusitânia - CS Évora;CS Évora;32;1,1%;32;1,1%;38;1,0%;62;0,0%;9;1,8%;34;0,6%;32;0,0%;9;5,2%;32;0,0%;32;0,0%;32;0,0%
Hosp Distrital do Montijo;CH Barreiro Montijo, EPE;33;1,1%;33;1,1%;41;0,9%;16;1,5%;22;1,1%;22;1,2%;32;0,0%;9;5,2%;32;0,0%;32;0,0%;32;0,0%
CS Vila Viçosa - (Outros);CS Vila Viçosa;34;0,9%;34;0,9%;27;1,7%;32;0,6%;38;0,6%;42;0,2%;32;0,0%;13;2,6%;32;0,0%;32;0,0%;32;0,0%
USF Quinta da Prata - CS Borba;CS Borba;35;0,9%;35;0,9%;38;1,0%;8;2,6%;33;0,7%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Alandroal - (Outros);CS Alandroal;36;0,8%;36;0,8%;28;1,6%;39;0,4%;57;0,1%;34;0,6%;32;0,0%;5;7,8%;32;0,0%;32;0,0%;32;0,0%
CS Crato - (Outros);CS Crato;38;0,7%;38;0,7%;53;0,3%;15;1,7%;18;1,3%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Extremus - CS de Estremoz;CS Estremoz;38;0,7%;38;0,7%;40;1,0%;35;0,5%;43;0,5%;22;1,2%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Viana do Alentejo - (Outros);CS Viana do Alentejo;40;0,6%;40;0,6%;55;0,1%;62;0,0%;12;1,5%;34;0,6%;32;0,0%;32;0,0%;8;2,6%;32;0,0%;32;0,0%
USF Matriz - CS Arraiolos;CS Arraiolos;40;0,6%;40;0,6%;47;0,5%;35;0,5%;22;1,1%;39;0,4%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Arronches - (Outros);CS Arronches;41;0,6%;41;0,6%;34;1,1%;39;0,4%;41;0,5%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Mora - (Outros);CS Mora;42;0,6%;42;0,6%;51;0,3%;62;0,0%;20;1,2%;26;0,8%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Portel - CS Portel;CS Portel;43;0,6%;43;0,6%;49;0,4%;62;0,0%;31;0,8%;26;0,8%;20;0,5%;32;0,0%;5;3,4%;32;0,0%;32;0,0%
USF Pinhal Saúde - CS Palmela;CS Palmela;45;0,5%;45;0,5%;47;0,5%;62;0,0%;46;0,3%;19;1,7%;32;0,0%;32;0,0%;5;3,4%;32;0,0%;32;0,0%
CS Fronteira - (Outros);CS Fronteira;45;0,5%;45;0,5%;33;1,2%;62;0,0%;49;0,3%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Sol - CS Évora;CS Évora;46;0,5%;46;0,5%;35;1,1%;62;0,0%;49;0,3%;46;0,1%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Alter do Chão - (Outros);CS Alter do Chão;47;0,5%;47;0,5%;43;0,6%;32;0,6%;38;0,6%;62;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
Outros (Primary Health Care);Outros (Primary Health Care);49;0,4%;49;0,4%;49;0,4%;62;0,0%;53;0,2%;18;1,8%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Castelo de Vide - (Outros);CS Castelo de Vide;49;0,4%;49;0,4%;38;1,0%;62;0,0%;58;0,0%;62;0,0%;20;0,5%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
CS Avis - (Outros);CS Avis;50;0,4%;50;0,4%;47;0,5%;39;0,4%;49;0,3%;62;0,0%;15;1,5%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
